ExamDescription,GroupName
BD-BD,BD Two Areas
BD-BDHRR,BD Two Areas
BD-BDPR,BD Two Areas
BD-BDS,BD Single Area
BD-BDSP,BD Two Areas
BD-BDSPS,BD Single Area
BD-INC,BD Two Areas
CT-AAA,CT Chest Abdomen Pelvis w/o Contrast
CT-AAAC,CT Chest Abdomen Pelvis with Contrast
CT-ABD,CT Abdomen w/o Contrast
CT-ABDD,CT Abdomen wo/w Contrast
CT-ABDC,CT Abdomen with Contrast
CT-ABDLHC,CT Abdomen with Contrast
CT-ABDLMC,CT Abdomen with Contrast
CT-ABDLTC,CT Abdomen with Contrast
CT-ABDPAMD,CT Abdomen wo/w Contrast
CT-ABDPAMC,CT Abdomen with Contrast
CT-ABDP,CT Abdomen Pelvis w/o Contrast
CT-ABDPD,CT Abdomen Pelvis wo/w Contrast
CT-ABDPC,CT Abdomen Pelvis with Contrast
CT-ABDPCOLB,CT Colonography
CT-ABDPCOLBC,CT Colonography
CT-ABDPCOL,CT Colonography
CT-ABDPCOLC,CT Colonography
CT-ABDPCOLLB,CT Colonography
CT-ABDPCOLLBC,CT Colonography
CT-ABDPCOLL,CT Colonography
CT-ABDPCOLLC,CT Colonography
CT-ABDPEC,CT Enterography with Contrast
CT-ABDPR,CT Abdomen Pelvis w/o Contrast
CT-ABDPRC,CT Abdomen Pelvis with Contrast
CT-ABDPREN,CT KUB w/o Contrast
CT-ABDPREND,CT IVP wo/w Contrast
CT-ABDPSBBC,CT Abdomen Pelvis with Contrast
CT-ABDPSBC,CT Abdomen Pelvis with Contrast
CT-ANABDC,CT Angio Abdomen with Contrast
CT-ANABDPC,CT Angio Abdomen Pelvis with Cont
CT-ANABDRC,CT Angio Abdo Pelvis Lower Ext with Cont
CT-ANCAPC,CT Angio Chest Abdomen Pelvis with Cont
CT-ANCXRC,CT Angio Chest with Contrast
CT-ANCORC,CT Cardiac with Contrast
CT-ANEXTLC,CT Angio Leg Runoff with Contrast
CT-ANEXTRC,CT Angio Leg Runoff with Contrast
CT-ANHEAD,CT Angio Head wo/w Contrast
CT-ANHEAC,CT Angio Head with Contrast
CT-ANHEAND,CT Angio Head Neck wo/w Contrast
CT-ANHEANC,CT Angio Head Neck with Contrast
CT-ANNECC,CT Angio Neck with Contrast
CT-ANRENC,CT Angio Abdomen with Contrast
CT-ASPACT,CT Aspiration
CT-ASP,CT Aspiration
CT-ASPABD,CT Aspiration Abdomen
CT-ASPCXR,CT Aspiration Chest
CT-BXABDM,CT Biopsy Abdomen
CT-BXACT,CT Biopsy
CT-BXADR,CT Biopsy Abdomen
CT-BXBON,CT Biopsy Bone
CT-BXCXR,CT Biopsy Chest
CT-BXCT,CT Biopsy
CT-BXLIV,CT Biopsy Liver
CT-BXLUN,CT Biopsy Chest
CT-BXLYM,CT Biopsy Lymph Node
CT-BXLYMD,CT Biopsy Lymph Node
CT-BXPAN,CT Biopsy Abdomen
CT-BXPEL,CT Biopsy Pelvis
CT-BXREN,CT Biopsy Renal
CT-CLS,CT Spine 2 or More Areas w/o Contrast
CT-CLSC,CT Spine 2 or More Areas with contrast
CT-CS,CT Spine Cervical w/o Contrast
CT-CSD,CT Spine Cervical wo/w Contrast
